PERSON ID,NAME,OTHER NAMES,ETHNICITY/NATIONALITY,PHYSICAL DESCRIPTORS,LOCATION(S),LOCATION IDS,BIOGRAPHICAL INFORMATION
P24,LINCOLN,,EBO,,"EGYPT ESTATE

BREADNUT ISLAND PEN",L1; L3," Lincoln first appears in the diary in Janury of 1756 as the very first enslaved person Thistlewood purchased for 43 pounds. Presumed to be an ""Ebo"", he was described as being 16 years of age, and 4 ft 9 inches tall.

 Throughout the course of those three decades, Thistlewood regularly appointed him to skilled positions such as a fisherman and a driver of the field gangs. He regularly entrusted him with the use and possession of a gun with which to hunt game and also regularly sent him out to search for and retrieve the most troublesome of runaways. Lincoln was the most frequent recipient of Thistlewood’s castoff clothes and worn possessions that he no longer wanted. The rations of food and rum he received were markedly higher than nearly everyone else’s. 
Lincoln had multiple domestic and sexual relationships, including one with an Egypt field woman named Violet, another named Egypt Susanah, and another African domestic laborer owned by Thistlewood named Abba. Lincoln and Abba would have two children together: a daughter named Jenny born in August of 1772, and a daughter named Phibbah born in April of 1776. Lincoln's longest core relationship however, was with Sukey, an African young woman who Thistlewood purchased in 1761 from a trader named John Hutt; they never had any children. Many of Lincoln's relationships with women were fraught with tension, even to the point of domestic violence.

Lincoln would be one of the enslaved population on Breadnut Island Pen who would go on to outlive Thistlewood past his death in 1786. Presumed to be 47 years old in a 2787 appraisal, his value was assessed at 50 pounds."
P25,MASON QUASHE,,?,,,,"Mason Quashe was an enslaved man who belonged to Elizabeth Anderson, a ""free coloured (mixed race) woman""who was the mistress of William Dorrill, Thistlewood's first empoyer and the initial owner of Egypt, Salt River and Paradise upon his arrival in Jamaica. She frequently hired Mason Quashe out to Egypt and other estates throughout the parish where he performed a wide array of skilled and very highly sought after labors such as masonry, carpentry, fishing, and driving of the field gangs. He was 'paid' for these labors in rum and castoff clothing from white men.  

Mason Quashe was a prominent figure in the enslaved community of Westmoreland, and held close relationships with other prominent figures in that community such as Phibbah, the housekeeper of Egypt, and the other women in her social circle such as House Franke and Egypt Lucy, who tended/cared for him in times of illness.  

Mason Quashe had a number of sexual/domestic relationships with several enslaved women throughout the neighborhood, including one with Egypt field woman Egypt Lucy, who left her previous husband Daniel for him--their union rrsulted in a son born in December of 1759: Little Quashe. He also had another child, a daughter named Franke who lived on a neighboring estate.

Mason Quashe's status as a skilled laborer seemed to give him a relative amount of privilege, particularly in his abilty to move around the parish, and beyond it. In 1767, he traveled abroad to British North America, where he would pass away from complications of gout and stomach maladies in 1767. "
P26,SOLON,,AFRICAN,,BREADNUT ISLAND PEN,L3,"Solon first appears in the diaries in July of 1761 when he was acquired by John Cope on Thistlewood's behalf from a slave market in Kingston alongside two others: an African woman named Nanny and an African young man named Caesar. Thistlewood paid 50 pounds for each one of them. He also described Solon as being ""about 16"". 

In later years, Solon would (like many others) be taken ill with various ailments and diseases such as stomach cramps, guinea worms, eye infections, and yaws.

Solon was a skilled fisherman and was often sent by Thistlewood to catch fish for him in nearby rivers and streaams. He was also frequently sent out to search for escaped runaways, particularly a young 'Ebo' woman named Molia who ran away from Thistlewood at least 14 times between 1769-1774.

Solon was the domestic partner/'husband' of Ogo (renamed 'Maria'), a presumed 'Ebo' African young woman purchased by Thistlewood from a slave trader named John Hutt in December of 1761. They had at least one child together: a daughter named Lucy, b0rn in November of 1766, who lived to the age of ten before dying in 1777 from stomach ailments.

"
P27,WANGA,PRINCESS,AFRICAN,,EGYPT ESTATE,L1,"Wanga was an African woman who was purchased and brought to Egypt to work as field laborer in May of 1754 shortly after Thistlewood's arrival in the early 1750's. Upon her purchase, she was renamed ""Princess,"" and paired with another enslaved woman named Quashe who served as her 'seasoner'.  

Wanga would have several confirmed sexual/domestic partners over the course of the sixteen years that Thistlewood served as overseer at Egypt. Among them were a driver named Hazat, and an Ebo man and skilled laborer named Cyrus, with whom she had a son in January of 1757 named Little Dick.

Although he survived his first two years of life, Little Dick was badly afflicted with yaws, a severe bacterial infection that resulted in skin lesions, joint inflammation and bone pain/deformities. In July of 1759, Little Dick passed away from the complications of yaws. Two months later his father, Cyrus, would go on to hold a ""feast"" (funeral ceremony) in his honor.

In 1761, Wanga was assigned to be the seasoner of an estimated 15 year old 'Ebo' young woman named Molia who had been purchased by Thistlewood and who he renamed 'Coobah'. 

Wanga ran away from the estate once in the spring of 1762. She was also pregnant at the time of her escape. Daniel, a skilled laborer was sent to search for and return her to the estate. She was later sent to Paradise estate to lie-in and give birth to a daughter named Charlotte, who survived at least until her second year."
P28,OLD LEANDRA,,AFRICAN,,MRS. BENNETTS,,"Old Leandra was an enslaved African woman and 'grannie' (midwife) who belonged to Sarah Bennett, a wealthy white proprietress who would later go on to sell Thistlewood Breadnut Island Pen in 1767. 

As a young(er) woman and captive upon a Middle Passage slave ship sailing from Guinea, Old Leandra was sexually coerced by the captain of the ship. She was alleged to have betrayed a plot of a shipboard rebellion to him in exchange for her freedom. Upon reaching Jamaica, the Captain temporarily left her in the keeping of a proprietor called Cunningham, supposedly as a ""free person,"" until his return to reclaim her; he died while away. Neither Cunningham nor his son honored the agreement to give Old Leandra her freedom, and eventually sold her to Sarah Bennett, with whom she remained for many years. 

It would not be until 1772 when Old Leandra was an elderly woman and (presumably) of little to no further use to Sarah Bennett that Bennett abruptly announced to Old Leandra that she was at last  free ""to go where she pleases."" The diary does not give a clear indication of where she lived following this 'release', but Old Leandra would go on to serve as a nurse and birthing attendant for Abba and Molia, two other women enslaved by Thistlewood.

Old Leandra was a caregiver for enslaved children, most particularly for [Mulatto] John, the mixed race son of Thistlewood and Egypt's housekeeper Phibbah who lived with Sarah Bennett while attending a school for mixed race children."
P29,JOB,,?,,EGYPT ESTATE,L1,
P30,MOUNTAIN LUCY,,?,,EGYPT ESTATE,L1,"Mountain Lucy was an enslaved fieldwoman who lived and worked on Egypt estate from as early as 1754. 

Like many other fieldhands, Mountain Lucy lived in conditions of immense poverty and food scarcity. Throughout periods of particularly severe famine and droughts on the estate, she appeared to have engaged in a coercive sexual relationship with Thistlewood in exchange for food, ""bitts"" (money), and other presents. 

In 1755, when Egypt's domestic housekeeper Phibbah became pregnant, she  ""brought"" Mountain Lucy to Thistlewood to ""keep"" as a ""sweetheart"" (sexual partner) while she was in her latter trimester of pregnancy. Thistlewood initially resisted the arrangement, but eventually relented.

Mountain Lucy was the mother of at least four children. In 1756, she gave birth to a girl, Prue, who managed to survive at least until the age of 8 (an enormous milestone for enslaved chilren in Jamaica), and who Mountain Lucy claimed had been fathered by Thistlewood, presumably duringPhibbah';s lying in period (although he denied this). Between 1758 and 1759, she gave birth to two boys, once each year, who both died within days. Another girl, Flora would follow in 1761 and survive until at least the age of 3. 

Mountain Lucy ran away from the estate at least twice in 1756. She was found within days on both occasions and punished with brutal floggings and gaggings. She was also punished on multiple occasions for giving verbal protests to the drivers in the field"
P31,FANNY,,?,,,,
P32,MIRTILLA,MYRTILLA,SOCO,TWO BLACK MARKS DESCENDING OBLIQUELY FROM HER EYES AND HER BELLY FULL OF COUNTRY MARKS,EGYPT ESTATE,L1,
P33,ELLIN,,EBO,,EGYPT ESTATE,L1,
P34,DAMSEL,,CHAMBOY,"4'8 INCHES HIGH
ON HER FACE, 3 LONG STROKES DOWN EACH CHEEK,  2 SMALL OBLIQUE, ETC. 

HER BELLY FULL OF COUNTRY MARKS & AN IN ARCH BETWEEN HER BREASTS. (1765)",BREADNUT ISLAND PEN,L3,
P35,PARADISE JACK,,?,,PARADISE ESTATE,L2,
P36,OLD POMPEY,,MOST LIKELY AFRICAN,,,,
P37,SUKEY,,AFRICAN,"4'8 HIGH (1761)

'TT' IN DOWNWARD TRIANGLE BRAND ON HER RIGHT SHOULDER (1761) ","EGYPT ESTATE 

BREADNUT ISLAND PEN",L1; L3,
P38,SAWNO; DOWOTRONNY,DICK,AFRICAN,"5'7 HIGH (1761)

""TT"" IN DOWNWARD TRIANGLE BRAND ON HIS RIGHT SHOULDER","EGYPT ESTATE 

BREADNUT ISLAND PEN",L1; L3,
P39,ABASSE,WILL,EBO,"5'3 HIGH (1761)

""TT"" IN DOWNWARD TRIANGLE BRAND ON HIS RIGHT SHOULDER","EGYPT ESTATE 

BREADNUT ISLAND PEN",L1; L3,
P40,OWORIA,POMPEY,COROMANTEE,"4'9 HIGH (1761)

'TT' IN DOWNWARD TRIANGLE BRAND ON HIS RIGHT SHOULDER (1761)","EGYPT ESTATE 

BREADNUT ISLAND PEN",L1; L3,
P41,BESS,,?,,BREADNUT ISLAND PEN,L3,
P42,DANIEL,,?,,"EGYPT ESTATE 

",L1,
P43,THE OVERSEER,THOMAS THISTLEWOOD,ENGLISH/BRITISH,,"VINEYARD PEN

EGYPT ESTATE

BREADNUT ISLAND PEN",L20; L1; L3,
P44,THE PLANTER,JOHN COPE,ENGLISH/BRITISH,,"PARADISE ESTATE

EGYPT ESTATE",L2; L1,
P45,THE PLANTER'S WIFE,MARY (MOLLY) COPE,ENGLISH/BRITISH,,"PARADISE ESTATE

EGYPT ESTATE",L2; L1,
P46,THE NEIGHBOR,SAMUEL SAY,ENGLISH/BRITISH,,CABARITTA ESTATE,L8,
P47,THE CAPTAIN,ARTHUR FOREST,ENGLISH/BRITISH,,MASEMURE ESTATE,L6,
P48,,DAVID KINLOCK,ENGLISH/BRITISH,,MASEMURE ESTATE,L6,
P49,,GEORGE LESLEY,ENGLISH/BRITISH,,,,
P50,THE PROPRIETRESS,SARAH BENNETT,ENGLISH/BRITISH,,SARAH BENNETT'S,L18,
P51,THE SLAVE TRADER,JOHN  HUTT,ENGLISH/BRITISH,,,,
P52,CUDJOE,,?,,,,
P53,,JAMES LYMBORNER,ENGLISH/BRITISH,,PARADISE ESTATE,L2,
P54,JIMMY,,COROMANTEE OR SHANTE,"4'5 INCHES HIGH (1765)

'TT' IN DOWNWARD TRIANGLE BRAND ON HIS RIGHT SHOULDER",,,
P55,THE OVERSEER'S NEPHEW,JOHN THISTLEWOOD,ENGLISH/BRITISH,,EGYPT ESTATE,L1,
P56,LITTLE NANCY,,?,,PARADISE ESTATE,L2,
P57,CHUB,,AFRICAN,"4'10 HIGH
3 PERPINDICULAR SCARS DOWN EACH CHEEK

'TT' IN DOWNWARD TRIANGLE BRAND ON HIS RIGHT SHOULDER
(1765)",,,
P58,PHOEBE,,COROMANTEE,"4'7 INCHES HIGH
VERY BLACK EYEBROWS 

'TT' IN DOWNWARD TRIANGLE BRAND ON HER RIGHT SHOULDER(1765)",BREADNUT ISLAND PEN,,
P59,FRANKE,,AFRICAN,"4'9 INCHES HIGH, HER FACE ALL OVER CHAMPHERRED 

'TT' IN DOWNWARD TRIANGLE BRAND ON HER RIGHT SHOULDER
(1765)",BREADNUT ISLAND PEN,,
P60,CUDJOE,,COROMANTEE,"5'6 INCHES HIGH
3 SPONTS ON HIS RIGHT CHEEK, 4 ON HIS LEFT 

'TT' IN DOWNWARD TRIANGLE BRAND ON HIS RIGHT SHOULDER
(1765)",BREADNUT ISLAND PEN,,
P61,OLD CUDJOE,,?,,,,
P62,SYPHOX,,TEMNE DONCO,"5'5 INCHES HIGH
SEVERAL ROWS OF PUNCTURES ACROSS THE BELLY & THUS ON FACE 

'TT' IN DOWNWARD TRIANGLE BRAND ON HIS RIGHT SHOULDER
(1765)",,,
P63,BRISTOL,,SOCO,"5'1 INCHES HIGH
SEVERAL PERPINDICULAR SMALL & ONE DIAGONAL SCAR ON EACH CHEEK

'TT' IN DOWNWARD TRIANGLE BRAND ON HER RIGHT SHOULDER

(1765)",,,
P64,,JOHN STONE,BRITISH/ENGLISH,,,,
P66,,DR. DRUMMOND,BRITISH/ENGLISH,,,,
P67,,RICHARD CROTCHER,BRITISH/ENGLISH,,,,
P68,,CHARLES GRAHAM,BRITISH/ENGLISH,,,,
P69,,MR. PARKER,BRITISH/ENGLISH,,,,
P70,THE LAWYER,MR. CHAMBERS,BRITISH/ENGLISH,,,,
P71,STROP,,?,,,,
P72,,MR. BEAN,BRITISH/ENGLISH,,,,
P73,WANICKER,,AFRICAN,,SALT RIVER ESTATE,L4,
P74,OLD SHARPER,,MOST LIKELY AFRICAN,,,,
P75,,WILLIAM DORRILL,BRITISH/ENGLISH,,SALT RIVER ESTATE,L4,
P76,ELIZABETH ANDERSON,,MIXED RACE (OCTROON),FAIR SKIN (MIXED RACE),SALT RIVER ESTATE,L4,
P77,NACOMMA,CYNTHIA,"BAMBARAH, CRIPPAH OR TINNEDONE",,SALT RIVER ESTATE,L4,
P78,COLONEL CUDJOE (MAROON),,?,,,,
P79,,(SAM)UEL MATHEWS,ENGLISH/BRITISH,,,,
P80,LITTLE MIMBER,,?,,,,
P81,,JOHN HARTNOLE,ENGLISH/BRITISH,,,,
P82,HAGAR,,?,,EGYPT ESTATE,L1,
P83,,JOHN PARKINSON,ENGLISH/BRITISH,,,,
P84,JOHNIE [MALE DRIVER],,AFRICAN,,EGYPT ESTATE,L1,
P85,SIMON,,AFRICAN,,EGYPT ESTATE,L1,
P86,CUFFEE,,?,,EGYPT ESTATE,L1,
P87,HAZAT,,?,,EGYPT ESTATE,L1,
P88,TOM,,?,,,,
P89,BACCHUS,,?,,,,
P90,MR. MOULD'S NANCY,,?,,,,
P91,FLORA,,?,,,,
P92,,MR. EMOTSON,ENGLISH/BRITISH,,EMOTSON'S TAVERN,,
P93,,MRS. EMOTSON,ENGLISH/BRITISH,,EMOTSON'S TAVERN,,
P94,,JACK COPE,JAMAICAN CREOLE/ENGLISH,,,,
P95,,DR. JAMES WEDDERBURN,ENGLISH/BRITISH,,,,
P96,OLD PHIBBAH,,?,,,,
P97,EGYPT MIRTILLA,,?,,EGYPT ESTATE,L1,
P98,L. POMPEY,,?,,,,
P99,MR. HAYWARD'S SALLY,,?,,,,
P100,LITTLE FANNY,,?,,BREADNUT ISLAND PEN,L3,
P101,CLOE,,?,,EGYPT ESTATE,L1,
P102,JACKIE,,?,,PARADISE ESTATE,L2,
P103,,SARAH WHEATLE,ENGLISH/BRITISH,,,,
P104,JENNY,NAGO JENNY,AFRICAN/BENIN/YORUBA,,EGYPT ESTATE,L1,
P105,DIDO,,?,,,,
P106,SARAH,,?,,,,
P107,NEPTUNE,,?,,,,
P108,,DR. GRAHAM,ENGLISH/BRITISH,,,,
P109,,WILLIAM BARNES,ENGLISH/BRITISH,,,,
P110,CUKOR,,,,,,
P111,,RICHARD HUNGERFORD,ENGLISH/BRITISH,,,,
P112,,DANIEL HUGHES,ENGLISH/BRITISH,,,,
P113,,BILLY LOWTHER,ENGLISH/BRITISH,,ROARING RIVER ESTATE,L21,
P114,MR. MCARTHUR,MR. MCARTHUR,ENGLISH/BRITISH,,,,
P115,ROSANNA,,?,,EGYPT ESTATE,L1,
P116,EGYPT MOLIA,,?,,EGYPT ESTATE,L1,
P117,VIOLET,,?,,EGYPT ESTATE,L1,
P118,ABIGAIL,,?,,EGYPT ESTATE,L1,
P119,MULATTO DAVIE,,?,,,,
P120,MR. MEYLER'S TOM,,?,,,,
P121,DAGO,,?,,,,
P122,EGYPT SILVIA [ADULT],,?,,,,
P123,MAZARINE,,?,,,,
P124,AGNES,,?,,,,
P125,MOLL,,?,,,,
P126,CHRISHEA,,EBO,,,,
P127,,MR. MILLER,ENGLISH/BRITISH,,,,
P128,EVE,,?,,,,
P129,EGYPT CLARA,,?,,EGYPT ESTATE,L1,
P130,CLORINDA,,?,,,,
P131,,MR. JOHN THOMPSON,ENGLISH/BRITISH,,,,
P132,MR. JOHN THOMPSONS MULATTA DAUGHER,,MIXED RACE,,,,
P133,,MRS. BESSIE CALAMY,,,,,
P134,BETTY,,?,,,,
P135,BESSIE,,?,,,,
P136,MONDAY,,?,,,,
P137,,ISAACS,JEWISH,,,,
P138,,MR. MURRAY,ENGLISH/BRITISH,,,,
P139,DOVER,,?,,,,
P140,,SAM LEA,ENGLISH/BRITISH,,,,
P141,,DAVID LOPEZ,ENGLISH/BRITISH,,,,
P142,,JN RICHIE,ENGLISH/BRITISH,,,,
P143,,MURDOCH MCLEOD,ENGLISH/BRITISH,,,,
P144,,WILLIAM GOLDING,ENGLISH/BRITISH,,,,
P145,,JOHN HAWWKINS,ENGLISH/BRITISH,,,,
P146,,THOMAS TOWNSEND,ENGLISH/BRITISH,,,,
P147,,JAMES WHITTAKER,ENGLISH/BRITISH,,,,
P148,,MR. ARCHER,ENGLISH/BRITISH,,,,
P149,,THE PINKNEYS,ENGLISH/BRITISH,,,,
P150,WILLIAM RICKETT'S CUFFEE,,?,,,,
P151,,MR. JEFF,ENGLISH/BRITISH,,,,
P152,,JOHN COLLON,ENGLISH/BRITISH,,,,
P153,,RICHARD DOBSON,ENGLISH/BRITISH,,,,
P154,,ANTHONY WATKINS TOMLINSON,ENGLISH/BRITISH,,,,
P155,,JOHN FRY,ENGLISH/BRITISH,,,,
P156,,MR. ROBINSON,ENGLISH/BRITISH,,,,
P157,,MR. NEIL,ENGLISH/BRITISH,,,,
P158,QUASHE [OWNED BY GEORGE LESLEY],,?,,,,
P159,,JEREMIAH MEYLER,ENGLISH/BRITISH,,,,
P160,MRS. BLAKE'S DOLL,,,,,,
P161,,MR. HAYWARD,ENGLISH/BRITISH,,,,
P162,JENNY [ GEORGE LESLEY'S HOUSEKEEPER],,?,,,,
P163,,THOMAS BRODIE,ENGLISH/BRITISH,,,,
P164,,JOHN CUNNINGHAM,ENGLISH/BRITISH,,,,
P165,PRINCE,,?,,,,
P166,ANJAW,,?,,,,
P167,ANJAW'S SECOND CHILD/SON,,?,,,,
P168,JOAN,DIDO'S CHILD,?,,,,
P169,LITTLE AGNES,AMBO & BETTY'S CHILD,?,,,,
P170,AMBO,,?,,,,
P171,LITTLE DICK,PRINCESS' CHILD/SON,?,,,,
P172,ELLIN'S CHILD,,?,,,,
P173,MOUNTAIN LUCY'S CHILD,,?,,,,
P174,SARAH'S CHILD/SON,,?,,,,
P175,MOUNTAIN LUCY'S CHILD #2,,?,,,,
P176,BELLA,,?,,,,
P177,OLD SYBIL,,AFRICAN,,EGYPT ESTATE,L1,
P178,MR. NORTH'S GEORGE,,?,,,,
P179,,MR. STANFORD,ENGLISH/BRITISH,,,,
P180,,GEORGE MERCY,ENGLISH/BRITISH,,,,
P181,SAM,MRS. BENNETT'S DRIVER SAM,?,,,,
P182,LEWIS,MR. MOULD'S LEWIS,?,,,,
P183,GRACE,,?,,,,
P184,OLD KATY,,?,,,,
P185,QUASHEBA [EGYPT],EGYPT GRANNIE QUASHEBA,?,,,,
P186,OGO'S CHILD [1770],,?,,,,
P187,ROSE,,CONGO,,,,
P188,,DR. ROBINSON,ENGLISH/BRITISH,,,,
P189,,WILLIAM CROOKSHANKS,ENGLISH/BRITISH,,,,
P190,EGYPT MIRTILLA/WILLIAM CROOKSHANKS DAUGHTER,,MIXED RACE,,,,
P191,MINOR,,?,,,,
P192,ACHILLES,,?,,,,
P193,VENUS,,?,,,,
P194,EGYPT HOUSE FRANKE,,?,,EGYPT ESTATE,L1,
P195,SANCHO,,?,,,,
P196,JUBA,,?,,,,
P197,LEWIE,,?,,,,
P198,THE GOVERNOR,"WILLIAM TRELAWNY, BARONET",ENGLISH/BRITISH,,,,
P199,THE GOVERNOR'S WIFE,LAETITIA TRELAWNY,ENGLISH/BRITISH,,,,
P200,THE GOVERNOR'S SISTER,MISS TRELAWNY,ENGLISH/BRITISH,,,,
P201,,MR. HAUGHTON,ENGLISH/BRITISH,,,,
P202,,MR. WEECH,ENGLISH/BRITISH,,,,
P203,,MRS. BLAKE,ENGLISH/BRITISH,,,,
P204,,MR. SENIOR,ENGLISH/BRITISH,,,,
P205,,MR. HARING,ENGLISH/BRITISH,,,,
P206,,WILLIAM POMMELLS,ENGLISH/BRITISH,,,,
P207,NAGUA,,?,,,,
P208,PLATO,,?,,,,
P209,ADAM,,?,,,,
P210,CYRUS,,EBO/AFRICAN,,EGYPT ESTATE,L1,"Cyrus was an enslaved man who lived/worked upon Egypt estate as a field hand. Presumed to be an 'Ebo' Cyrus was often tasked with performing a number of different skilled jobs around the estate, going out to search for and retrieve runaways, and even more frequently sent to fish in the nearby rivers and streams througout the parish.

Cyrus was confirmed as having two sons: a boy named Sawney with an undientified mother, and a boy named Little Dick with Wonga, an African fieldwoman who was born in 1757 and lived to the age of two before dying from complications of yaws disease. In the months following Little Dick's death, Cyrus mourned his loss by throwing a ""feast"" (a funeral celebration) in his son's honor. "
P211,EGYPT JIMMY,,?,,,,\
P212,PORT ROYAL,,?,,,,
P213,HUMPHREY,,?,,,,
P214,SAMPSON,,?,,,,
P215,FRANK,,?,,,,
P216,GEORGE,,?,,,,
P217,DAVIE,,?,,,,
P218,BASHEBA,,?,,,,
P219,YABBA,,?,,,,
P220,OLD MOLL,,?,,,,
P221,HANNAH,,?,,,,
P222,MARGE,,?,,,,
P223,BELLA,,?,,,,
P224,YARA,,?,,,,
P225,DOLL,,?,,,,
P226,MORRIS,,?,,,,
P227,,SAMUEL DUME,ENGLISH/BRITISH,,,,
P228,,DR. GORSE,,,,,
P229,PHIBBAH'S HUSBAND,,,,,,
P230,LITTLE NANCY,,"MIXED RACE, ""MULATTO""",,,,
P231,LITTLE CATALINA,,?,,,,
P232,PARADISE QUACOO,,?,,,,
P233,OGO'S SWEETHEART,,?,,,,
P234,PRINCE,,?,,,,
P235,MR. MOULD'S FRANKE,,?,,,,
P236,LONGPONG RUNAWAY WOMAN,,?,,,,
P237,CUBBENA,,?,,,,
P238,ROSANNA,,?,,,,
P239,QUANINA,,?,,,,
P240,EGYPT QUASHEBA,,?,,,,
P241,DAGO,,?,,,,
P242,VINE'S MOTHER,,MOST LIKELY AFRICAN,,,,
P243,STOMPE,,,,,,
P244,POLLY,DR. FRAZIER'S POLLY,,,,,
P245,,DR. FRAZIER,ENGLISH/BRITISH,,,,
P246,COOBAH'S FIRST DAUGHTER,,,,,,
P247,LITTLE DOLL,,,,,,
P248,,DR. ALLWOOD,,,,,
P249,LONDON,,,,,,
P250,DITTO,,,,,,
P251,BILLY FOOT'S MIMBAH,,,,,,
P252,MR. MOULD,,,,,,
P253,OLD CATALINA,,,,,,
P254,MOUNTAIN SUSANAH,,,,,,
P255,LYDDE,,,,,,
P256,NERO,,,,,,
P257,BRISTOL [BESS' SON],,,,,,
P258,PHOEBE'S CHILD/SON,,,,,,
P259,OLD CUNNINGHAM,,,,,,
P260,,DR. PANTON,,,,,
P261,HERCULES,,,,,,
P262,EVE'S DAUGHTER,,,,,,
P263,,YOUNG MR. LESLEY,ENGLISH/BRITISH,,,,
P264,,HENRY MCCORMICK,,,,,
P265,MR. BOSSLEY'S ENSLAVED WOMAN,,,,,,
P266,MR. CHAMBER'S JENNY,,,,,,
P267,EASTER,,,,,,
P268,,MR. ROBERTS,,,,,
P269,CUMBERLAND,,,,,,
P270,FLORA [MOUNTAIN LUCY'S CHILD],,,,,,
P271,LITTLE BENEBA,,,,,,
P272,,JOHN THOMSON,,,,,
P273,THOMAS,MULATTO THOMAS,,,,,
P274,,CAPTAIN SUTTIE,,,,,
P275,,THE PLANTER'S THREE DAUGHTERS,,,,,
P276,PLUTO,,,,,,
P277,OLD TOM,,,,,,
P278,FARLANE,,,,,,
P279,, JAMES LIMBURNER,,,,,
P280,,MR. GRANT,,,,,
P281,CESAR,,,,,,
P282,,JOHN DORWARD,,,,,
P283,,JOHN STUART,,,,,
P284,EGYPT QUASHE,,,,,,
P285,,MR. BURTON,,,,,
P286,,MR. RIPLEY,,,,,
P287,RIPLEY'S DAUGHTERS,,,,,,
P288,,YOUNG HORLOCK,,,,,
P289,TOM,COOBAH'S HUSBAND TOM,,,,,
P290,SAM,MR. HAYWARD'S SAM,,,,,
P291,MOCHO JIMMY,,,,,,
P292,,HANNAH PINKNEY,,,,,
P293,,MR. ALLEN,,,,,
P294,JUNO,,,,,,
P295,DERBY,,,,,,
P296,EGYPT SUSANAH,,,,,,
P297,HANNIBAL,,,,,,
P298,EGYPT QUACOO,,,,,,
P299,JOE,,,,,,
P300,CAESAR,MR. MARKMAN'S CAESAR,,,,,
P301,GUY,,,,,,
P302,CHARLES,,,,,,
P303,MARINA,,,,,,
P304,MARY (JOHN EDMOND'S WIFE),,,,,,
P305,BARBADOS WOMAN,,,,,,
P306,MR. BARTON,,,,,,
P307,BENEBA,,,,,,
P308,BARTON'S DICK,,,,,,
P309,VINEYARD PHIBBAH,,,,,,
P310,SCIPIO,,,,,,
P311,HUGO,,,,,,
P312,SIR HANS SLOANE,,,,,,
P313, VINEYARD DICK,,,,,,
P314,FULLERWOOD QUASHEBA,,,,,,
P315,EGYPT FIELD HANDS,,,,,,
P316,MR. COOK,,,,,,
P317,LEWIE,,,,,,
P318,POLLY COPE,,,,,,
P319,CLOE'S CHILD,,,,,,
P320,EMOTSON'S EVE,,,,,,
P321,BARNETT'S NANCY,,,,,,
P322,COL. BARCLAY'S NEGROES,,,,,,
P323,MRS. WHEATLEY,,,,,,
P324,PETER COLLGRAVE,,,,,,
P325,EGYPT LITTLE PHIBBAH,,,,,,
P326,MR. MOULD'S LYDDE,,,,,,
P327,ROBERT LAWRENCE,,,,,,
P328,DINAH,,,,,,
P329,KENT,,,,,,
P330,JACOB HENRIQUEZ,,,,,,
P331,RICHARD HAYWARD,,,,,,
P332,AARON TORRO,,,,,,
P333,JACOB PEFSOA,,,,,,
P334,SAM SPRINGETT,,,,,,
P335,BILLY,,,,,,
P336,PERO,,,,,,
P337,CAMBRIDGE,,,,,,
P338,PETER,,,,,,
P339,SAWNY,,,,,,
P340,AMELIA,,,,,,
P341,LITTLE COFFEE,,,,,,
P342,PRIMUS,,,,,,
P343,WORSOE,,,,,,
P344,DAPHNE [EGYPT],,AFRICAN,,,,
P345,MARGARETTA,,,,,,
P346,SOLINDA,,,,,,
P347,HARRY,,,,,,
P348,PUNCH,,,,,,
P349,LUTHE,,,,,,
P350,JOASE,,,,,,
P351,CHRISTOPHER,,,,,,
P352,EGYPT CUBBAH,,,,,,
P353,EGYPT COFFEE,,,,,,
P354,QUAMINA,,,,,,
P355,CUBBENNA,,,,,,
P356,FLANDERS,,,,,,
P357,LEWIE,,,,,,
P358,HECTOR,,,,,,
P359,LITTLE QUASHE [EGYPT DRIVER],,,,,,
P360,ABRAHAM,,,,,,
P361,BECK,,,,,,
P362,BIG MIMBER,,,,,,
P363,BIG DOLL,,,,,,
P364,OLD SAMBO,,,,,,
P365,OLD BELLA,,,,,,
P366,TOM TOMLINSON,,,,,,
P367,JAMES HAYES,,,,,,
P368,LAWRENCE OLIPHANT,,,,,,
P369,COLONEL BARCLAY,,,,,,
P370,OLD SARAH,,,,,,
P371,ANJAW'S FIRST CHILD [1758],,,,,,
P372,MRS. BENNETT'S SARAH,,,,,,
P373,HOPE,,,,,,
P374,RHADAMANTHUS,,,,,,
P375,TOBY,,,,,,
P376,SARAH'S CUBBAH,,,,,,
P377,LYDDE'S FORTUNE,,,,,,
P378,MR. GARDINER,,,,,,
P379,VIOLET'S CHILD,,,,,,
P380,QUAW,,,,,,
P381,PHILIP,,,,,,
P382,WITTE,,,,,,
P383,MR. BECKFORD,,,,,,
P384,MR. BOSSLEY,,,,,,
P385,HUGH WHITE,,,,,,
P386,JAMES WHITE,,,,,,
P387,MR. STERLING,,,,,,
P388,MR. BOYD,,,,,,
P389,PEGGY COPE,,,,,,
P390,MR. CARR,,,,,,
P391,MR. RANKIN,,,,,,
P392,BLUECASTLE OVERSEER,,,,,,
P393,BREADNUT ISLAND PEN FIELDHANDS,,,,,,
P394,DAVID FRAILL,,,,,,
P395,ADAM [OLD HOPE ESTATE],,,,,,
P396,CHARLES COOK,,,,,,
P397,MRS.MARIN,,,,,,
P398,MR. MARIN,,,,,,
P399,ENSLAVED WOMAN [MARIN'S],,,,,,
P400,DR. LIGHTFOOT,,,,,,
P401,PETER FOOKES,,,,,,
